"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.01 (-0.04-0.07)",0.654594948534721
"Brain","0.03 (-0.02-0.08)",0.301184254097432
"Cardiovascular","0.02 (-0.04-0.07)",0.631608920897515
"Endocrine","0.02 (-0.03-0.07)",0.501002925909499
"Gastrointestinal","-0.08 (-0.13--0.04)",0.000745621088707418
"Immune","0.02 (-0.03-0.07)",0.557585047734617
"Kidney_urinary","0.08 (0.03-0.14)",0.00923334284075663
"Liver","0.05 (-0.01-0.10)",0.11987267301196
"Lung","-0.11 (-0.16--0.05)",0.000201644029717696
"Muscle","0.07 (0.02-0.13)",0.0111272609048838
"Nerve","0.01 (-0.04-0.06)",0.808012985123989
"Pancreas","0.04 (-0.01-0.09)",0.147858176253019
"Prostate","-0.11 (-0.15--0.06)",3.86539799238186e-05
"Skin","-0.03 (-0.08-0.01)",0.237620237532006
