"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.01 (-0.03-0.05)",0.721187844429615
"Brain","-0.02 (-0.05-0.01)",0.318213959438866
"Cardiovascular","0.03 (-0.01-0.07)",0.144362382475512
"Endocrine","0.01 (-0.03-0.04)",0.715832135564356
"Gastrointestinal","-0.00 (-0.04-0.03)",0.898244774338585
"Immune","0.02 (-0.02-0.06)",0.396265847671715
"Kidney_urinary","0.04 (0.00-0.07)",0.0513321171690488
"Liver","-0.00 (-0.05-0.04)",0.971277207877152
"Lung","0.01 (-0.04-0.06)",0.73433064026637
"Muscle","0.06 (0.01-0.10)",0.0195983037726812
"Nerve","-0.01 (-0.05-0.02)",0.557019783067206
"Ovary","0.03 (0.01-0.06)",0.032689378551752
"Pancreas","0.01 (-0.02-0.04)",0.716195442254299
"Skin","-0.02 (-0.05-0.01)",0.213061665176456
