"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.22 (0.14-0.29)",3.5523082692428e-07
"Brain","0.13 (0.07-0.19)",0.000132457593707763
"Cardiovascular","0.21 (0.12-0.31)",2.15488344234741e-05
"Endocrine","0.17 (0.10-0.24)",8.91629915497111e-06
"Gastrointestinal","0.25 (0.14-0.35)",2.60091315849748e-05
"Immune","0.24 (0.15-0.33)",1.09422052581946e-06
"Kidney_urinary","0.17 (0.09-0.24)",9.04581130180235e-05
"Liver","0.25 (0.17-0.33)",3.92895464727581e-09
"Lung","0.20 (0.12-0.28)",2.56549330583142e-06
"Muscle","0.06 (0.00-0.11)",0.0810540510162176
"Nerve","0.26 (0.17-0.34)",3.996697849595e-08
"Ovary","0.09 (0.04-0.14)",0.00238930641349243
"Pancreas","0.03 (-0.03-0.09)",0.478691209467788
"Skin","0.21 (0.12-0.31)",3.55445669841194e-05
