"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.42 (-0.56--0.28)",4.91040649709246e-08
"Brain","-0.33 (-0.37--0.29)",4.80322314659085e-57
"Cardiovascular","-0.34 (-0.38--0.30)",5.88791177047538e-58
"Endocrine","-0.37 (-0.44--0.29)",6.2229842163238e-21
"Gastrointestinal","-0.30 (-0.34--0.26)",4.66459102731131e-45
"Immune","-0.36 (-0.40--0.31)",1.14274065210122e-59
"Kidney_urinary","-0.38 (-0.43--0.33)",4.46571845358821e-52
"Liver","-0.27 (-0.31--0.23)",1.51483330482273e-34
"Lung","-0.33 (-0.41--0.25)",3.31360443422793e-15
"Muscle","-0.28 (-0.35--0.20)",4.53544082277954e-11
"Nerve","-0.33 (-0.39--0.27)",2.36377479733027e-27
"Pancreas","-0.30 (-0.34--0.26)",1.11038952690481e-41
"Prostate","-0.25 (-0.29--0.21)",1.74204736379554e-32
"Skin","-0.34 (-0.41--0.27)",7.01987792987204e-22
