"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.04 (-0.09-0.01)",0.190088332755303
"Brain","0.02 (-0.03-0.07)",0.478794449455509
"Cardiovascular","-0.05 (-0.10--0.00)",0.0564939046119799
"Endocrine","0.02 (-0.05-0.08)",0.665771055489841
"Gastrointestinal","0.01 (-0.04-0.06)",0.774659902414721
"Immune","-0.01 (-0.06-0.04)",0.824491669055652
"Kidney_urinary","0.10 (0.04-0.17)",0.00650490419270142
"Liver","0.00 (-0.05-0.05)",0.983085954507924
"Lung","0.01 (-0.04-0.06)",0.679328323553755
"Muscle","-0.04 (-0.09-0.00)",0.0822345195282396
"Nerve","-0.04 (-0.08-0.01)",0.191531311447127
"Pancreas","0.02 (-0.03-0.08)",0.453474152321316
"Prostate","-0.11 (-0.16--0.07)",1.29470341928057e-05
"Skin","0.07 (0.02-0.12)",0.00715565928903159
