"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.98 (0.88-1.09)",0.81942303584275
"Brain","0.99 (0.88-1.11)",0.867047289895346
"Cardiovascular","1.15 (1.02-1.30)",0.0746622550477794
"Endocrine","1.24 (1.11-1.39)",0.00216465275156715
"Gastrointestinal","1.42 (1.26-1.59)",9.67967361703946e-08
"Immune","1.20 (1.07-1.34)",0.00997918261593849
"Kidney_urinary","1.40 (1.24-1.58)",4.42100006658544e-07
"Liver","1.17 (1.05-1.31)",0.0215344494263793
"Lung","1.23 (1.07-1.40)",0.011538494877096
"Muscle","1.01 (0.91-1.11)",0.899295658484256
"Nerve","1.06 (0.95-1.18)",0.418472232517949
"Pancreas","1.06 (0.96-1.18)",0.418472232517949
"Prostate","0.84 (0.76-0.93)",0.0043499385956047
"Skin","0.97 (0.87-1.08)",0.738741616181966
