"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.02 (-0.04-0.01)",0.203746723911282
"Brain","0.02 (-0.01-0.04)",0.285497608553412
"Cardiovascular","-0.01 (-0.04-0.02)",0.613398752857986
"Endocrine","0.02 (-0.01-0.04)",0.287724393555822
"Gastrointestinal","-0.01 (-0.04-0.02)",0.60777239607446
"Immune","0.03 (0.00-0.06)",0.0483847692412143
"Kidney_urinary","0.04 (0.02-0.07)",0.00407346913740821
"Liver","-0.02 (-0.05-0.00)",0.120959588072648
"Lung","-0.02 (-0.05--0.00)",0.0669702218231867
"Muscle","0.00 (-0.02-0.03)",0.867298522420186
"Nerve","-0.04 (-0.07--0.02)",0.00188625582292837
"Ovary","-0.02 (-0.06-0.02)",0.388271636216581
"Pancreas","0.03 (0.01-0.05)",0.0166065467568008
"Prostate","-0.04 (-0.08-0.00)",0.123575464304633
"Skin","-0.01 (-0.04-0.01)",0.313469948101851
