"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.17 (0.10-0.24)",2.95318008188496e-06
"Brain","0.16 (0.10-0.21)",5.43984936219284e-07
"Cardiovascular","0.16 (0.08-0.23)",8.06166024344898e-05
"Endocrine","0.14 (0.08-0.19)",2.56019160289972e-06
"Gastrointestinal","0.24 (0.17-0.31)",9.38858036471373e-11
"Immune","0.21 (0.15-0.27)",4.61333580283948e-10
"Kidney_urinary","0.14 (0.09-0.20)",4.18035900666156e-07
"Liver","0.23 (0.17-0.29)",3.52285447273489e-12
"Lung","0.16 (0.10-0.22)",5.30753772687221e-07
"Muscle","0.02 (-0.01-0.05)",0.246614737935289
"Nerve","0.21 (0.13-0.29)",5.84769079039459e-07
"Ovary","0.08 (0.03-0.12)",0.00498753565116403
"Pancreas","0.03 (-0.01-0.07)",0.132091647867548
"Prostate","0.08 (0.01-0.16)",0.0513051323644699
"Skin","0.19 (0.12-0.26)",1.92199686788401e-07
