"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (0.02-0.08)",0.00809160960456942
"Brain","0.07 (0.04-0.11)",0.000320340726210267
"Cardiovascular","0.06 (0.02-0.09)",0.00403708053504557
"Endocrine","0.02 (-0.02-0.05)",0.425978976773192
"Gastrointestinal","0.05 (0.01-0.10)",0.0189834032095926
"Immune","0.08 (0.04-0.11)",0.000107874546789062
"Kidney_urinary","0.10 (0.06-0.14)",6.66851056909157e-06
"Liver","0.02 (-0.02-0.05)",0.398265615155421
"Lung","0.03 (-0.00-0.06)",0.125428516516376
"Muscle","0.04 (0.01-0.07)",0.0324012264621948
"Nerve","-0.03 (-0.06-0.01)",0.225397634327561
"Ovary","0.05 (0.01-0.08)",0.0161347799735076
"Pancreas","0.06 (0.02-0.09)",0.00286144075646854
"Skin","0.01 (-0.02-0.04)",0.64941310352398
