"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.93 (0.80-1.07)",0.418472232517949
"Brain","0.83 (0.71-0.97)",0.0691840290623752
"Cardiovascular","0.92 (0.79-1.07)",0.418472232517949
"Endocrine","0.87 (0.76-1.00)",0.109301304845615
"Gastrointestinal","0.92 (0.80-1.07)",0.418472232517949
"Immune","0.93 (0.82-1.07)",0.418472232517949
"Kidney_urinary","0.86 (0.74-0.99)",0.104862333003703
"Liver","0.90 (0.77-1.04)",0.310219165694746
"Lung","0.91 (0.80-1.04)",0.346245098863047
"Muscle","0.93 (0.83-1.04)",0.346245098863047
"Nerve","0.94 (0.82-1.08)",0.477845893685504
"Pancreas","1.03 (0.91-1.17)",0.738741616181966
"Prostate","1.02 (0.91-1.14)",0.81942303584275
"Skin","0.88 (0.77-1.00)",0.109301304845615
