"Organ","Effect (95% CI)","FDR"
"Prostate","1.62 (1.33-1.97)",8.25e-06
"Ovary","1.19 (0.95-1.48)",0.125
"Cardiovascular","1.45 (1.24-1.68)",8.25e-06
"Kidney And Bladder","1.42 (1.23-1.63)",8.25e-06
"Nerve","1.35 (1.16-1.58)",3e-04
"Immune","1.35 (1.19-1.55)",3.2325e-05
"Brain","1.33 (1.16-1.53)",0.0001446
"Endocrine","1.29 (1.11-1.51)",0.00234375
"Liver","1.28 (1.08-1.51)",0.00825
"Muscle","1.26 (1.11-1.43)",0.000681428571428571
"Gastrointestinal","1.21 (1.04-1.40)",0.02145
"Adipose","1.20 (1.02-1.40)",0.0349090909090909
"Skin","1.14 (0.98-1.32)",0.097
"Lung","1.13 (0.98-1.31)",0.100821428571429
"Pancreas","1.13 (0.98-1.30)",0.100821428571429
