"Organ","Effect (95% CI)","FDR"
"Prostate","1.06 (0.94-1.18)",0.5235
"Ovary","1.05 (0.94-1.16)",0.553636363636364
"Immune","1.12 (1.05-1.20)",0.0183
"Adipose","1.09 (1.01-1.18)",0.11825
"Gastrointestinal","1.08 (1.01-1.17)",0.11825
"Brain","1.08 (1.00-1.16)",0.11825
"Endocrine","1.07 (1.00-1.15)",0.11825
"Cardiovascular","1.07 (1.00-1.15)",0.119142857142857
"Kidney And Bladder","1.07 (1.00-1.15)",0.11825
"Liver","1.07 (0.99-1.15)",0.1250625
"Muscle","1.03 (0.97-1.10)",0.5235
"Lung","1.03 (0.95-1.11)",0.558461538461538
"Pancreas","1.03 (0.95-1.10)",0.558461538461538
"Nerve","1.02 (0.95-1.10)",0.609642857142857
"Skin","1.01 (0.93-1.09)",0.842
