"Organ","Effect (95% CI)","FDR"
"Prostate","1.31 (1.00-1.70)",0.0490714285714286
"Ovary","1.30 (1.11-1.54)",0.00214090909090909
"Gastrointestinal","1.50 (1.33-1.69)",5.31e-10
"Lung","1.44 (1.29-1.62)",2.2875e-09
"Liver","1.42 (1.26-1.60)",1.765e-08
"Immune","1.40 (1.25-1.56)",9.375e-09
"Brain","1.42 (1.27-1.59)",3.17e-09
"Cardiovascular","1.38 (1.24-1.54)",1.356e-08
"Skin","1.38 (1.22-1.57)",5.22857142857143e-07
"Adipose","1.37 (1.22-1.55)",6.01875e-07
"Nerve","1.31 (1.15-1.49)",0.0001175
"Kidney And Bladder","1.23 (1.08-1.40)",0.00214090909090909
"Pancreas","1.23 (1.05-1.42)",0.0093
"Endocrine","1.21 (1.06-1.39)",0.004875
"Muscle","1.10 (0.96-1.25)",0.171
