"Organ","Effect (95% CI)","FDR"
"Adipose","1.25 (1.00-1.55)",0.0577123533140019
"Brain","1.47 (1.24-1.73)",2.02443176235704e-05
"Cardiovascular","1.56 (1.31-1.87)",1.14059556201145e-05
"Endocrine","1.40 (1.14-1.73)",0.00271189443760355
"Gastrointestinal","1.27 (1.05-1.52)",0.0190589265338771
"Immune","1.52 (1.28-1.82)",1.14059556201145e-05
"Kidney And Bladder","1.58 (1.31-1.91)",1.14059556201145e-05
"Liver","1.39 (1.15-1.67)",0.000967996211867139
"Lung","1.21 (1.03-1.43)",0.0298743291473808
"Muscle","1.35 (1.17-1.55)",8.57417520002806e-05
"Nerve","1.44 (1.18-1.76)",0.000807595186042
"Ovary","1.23 (0.87-1.75)",0.242957861343651
"Pancreas","1.12 (0.94-1.33)",0.227715133277183
"Prostate","1.64 (1.32-2.03)",2.02443176235704e-05
"Skin","1.19 (0.98-1.45)",0.0917540574614779
