"Organ","Effect (95% CI)","FDR"
"Adipose","1.01 (0.93-1.09)",0.910291527498577
"Brain","0.95 (0.88-1.03)",0.510354509017385
"Cardiovascular","0.94 (0.87-1.01)",0.469203593683028
"Endocrine","1.01 (0.94-1.09)",0.864186247962263
"Gastrointestinal","0.96 (0.89-1.04)",0.592777402991302
"Immune","1.07 (1.00-1.15)",0.349744901061421
"Kidney And Bladder","1.04 (0.97-1.13)",0.592777402991302
"Liver","0.98 (0.91-1.05)",0.708059180815895
"Lung","1.02 (0.94-1.10)",0.813915396608017
"Muscle","0.89 (0.83-0.96)",0.0249723990643591
"Nerve","0.96 (0.89-1.04)",0.592777402991302
"Ovary","1.09 (0.98-1.21)",0.469203593683028
"Pancreas","0.97 (0.91-1.05)",0.708059180815895
"Prostate","0.99 (0.89-1.11)",0.910291527498577
"Skin","0.95 (0.88-1.02)",0.507416980300621
