"Organ","Effect (95% CI)","FDR"
"Adipose","1.04 (0.85-1.27)",0.838527482911702
"Brain","1.05 (0.89-1.23)",0.838527482911702
"Cardiovascular","1.01 (0.88-1.18)",0.867038512967825
"Endocrine","1.04 (0.90-1.20)",0.838527482911702
"Gastrointestinal","1.03 (0.90-1.18)",0.838527482911702
"Immune","1.08 (0.92-1.27)",0.828243005320278
"Kidney And Bladder","0.95 (0.83-1.09)",0.828243005320278
"Liver","0.93 (0.81-1.07)",0.828243005320278
"Lung","0.93 (0.82-1.06)",0.828243005320278
"Muscle","0.86 (0.75-0.98)",0.378325517428776
"Nerve","0.92 (0.79-1.06)",0.828243005320278
"Ovary","1.07 (0.90-1.26)",0.828243005320278
"Pancreas","0.95 (0.84-1.08)",0.828243005320278
"Prostate","0.98 (0.79-1.22)",0.867038512967825
"Skin","1.04 (0.86-1.25)",0.838527482911702
