"Organ","Effect (95% CI)","FDR"
"Adipose","1.18 (0.71-1.95)",0.610080813252157
"Brain","1.24 (0.73-2.10)",0.555618277231033
"Cardiovascular","1.30 (0.82-2.06)",0.534404094274304
"Endocrine","1.27 (0.90-1.81)",0.52657020686932
"Gastrointestinal","1.98 (1.30-3.02)",0.0107672518408731
"Immune","1.64 (1.14-2.36)",0.0379250824228302
"Kidney And Bladder","1.28 (0.78-2.08)",0.534404094274304
"Liver","1.60 (0.82-3.12)",0.52657020686932
"Lung","1.26 (0.53-2.97)",0.642138844501856
"Muscle","1.14 (0.86-1.52)",0.534404094274304
"Nerve","1.31 (0.82-2.09)",0.534404094274304
"Ovary","1.31 (0.24-7.08)",0.754169213950976
"Pancreas","1.25 (0.71-2.20)",0.555618277231033
"Prostate","2.34 (1.46-3.74)",0.00601832915645165
"Skin","1.20 (0.82-1.77)",0.534404094274304
