"Organ","Effect (95% CI)","FDR"
"Adipose","1.22 (1.06-1.40)",0.0121778921134163
"Brain","1.20 (1.05-1.37)",0.0160498390201983
"Cardiovascular","1.31 (1.17-1.48)",4.66024952572083e-05
"Endocrine","1.26 (1.11-1.43)",0.00104296264751029
"Gastrointestinal","1.20 (1.05-1.38)",0.0160498390201983
"Immune","1.31 (1.15-1.50)",0.000236147652701112
"Kidney And Bladder","1.31 (1.15-1.50)",0.000223951158590054
"Liver","1.13 (1.00-1.27)",0.0571790960458995
"Lung","1.16 (1.02-1.32)",0.0274068312482494
"Muscle","1.06 (0.95-1.18)",0.338917062600378
"Nerve","1.41 (1.25-1.60)",4.08591292765645e-07
"Ovary","1.20 (0.94-1.53)",0.154923235093117
"Pancreas","1.21 (1.03-1.41)",0.0264204090999122
"Prostate","1.22 (1.04-1.44)",0.0253524816197486
"Skin","1.06 (0.93-1.22)",0.377030965497089
