"Organ","Effect (95% CI)","FDR"
"Adipose","1.06 (0.95-1.19)",0.632559512079625
"Brain","1.05 (0.96-1.15)",0.632559512079625
"Cardiovascular","1.04 (0.96-1.14)",0.632559512079625
"Endocrine","1.06 (0.97-1.16)",0.601151232184747
"Gastrointestinal","1.06 (0.98-1.16)",0.601151232184747
"Immune","1.10 (1.01-1.21)",0.553668865066879
"Kidney And Bladder","1.06 (0.97-1.15)",0.601151232184747
"Liver","1.06 (0.98-1.16)",0.601151232184747
"Lung","0.99 (0.91-1.09)",0.942258714789868
"Muscle","1.00 (0.93-1.08)",0.962936160035148
"Nerve","0.96 (0.88-1.05)",0.644452889706314
"Ovary","1.03 (0.90-1.17)",0.914574939027178
"Pancreas","0.99 (0.90-1.08)",0.921457064429648
"Prostate","1.03 (0.91-1.17)",0.912254570159835
"Skin","0.99 (0.90-1.08)",0.925177822013244
