"Organ","Effect (95% CI)","FDR"
"Adipose","0.98 (0.77-1.25)",0.880047123372555
"Brain","1.27 (0.99-1.62)",0.173577941804691
"Cardiovascular","1.20 (0.94-1.54)",0.23578155783875
"Endocrine","1.27 (0.95-1.70)",0.214457116745503
"Gastrointestinal","1.40 (1.05-1.86)",0.1142090628481
"Immune","1.20 (0.91-1.59)",0.27200383404294
"Kidney And Bladder","1.49 (1.14-1.96)",0.0582839342437663
"Liver","1.21 (0.95-1.54)",0.214457116745503
"Lung","1.25 (0.95-1.65)",0.214457116745503
"Muscle","1.16 (1.01-1.32)",0.127480272000671
"Nerve","1.08 (0.81-1.45)",0.645531028069664
"Ovary","1.20 (0.83-1.73)",0.37809370889503
"Pancreas","1.17 (0.87-1.58)",0.377797239182041
"Prostate","0.61 (0.41-0.90)",0.106470690132536
"Skin","0.87 (0.71-1.07)",0.27200383404294
