"Organ","OR (95% CI)","FDR"
"Adipose","1.47 (1.24-1.73)",1.3261498803805e-05
"Brain","1.67 (1.41-1.98)",7.06983855381275e-08
"Cardiovascular","1.58 (1.34-1.86)",2.07211430620847e-07
"Endocrine","1.28 (1.05-1.56)",0.0179646248086324
"Gastrointestinal","1.42 (1.15-1.76)",0.00185625720577306
"Immune","1.50 (1.28-1.75)",2.15404259239947e-06
"Kidney and Bladder","1.37 (1.16-1.63)",0.000540466504090219
"Liver","1.71 (1.42-2.06)",1.112497861712e-07
"Lung","1.33 (1.10-1.61)",0.0047131205887178
"Muscle","1.37 (1.07-1.75)",0.0149799814680809
"Nerve","1.57 (1.31-1.88)",3.9129725431702e-06
"Ovary","1.45 (1.15-1.84)",0.00273765122968402
"Pancreas","1.50 (1.23-1.84)",0.000187863018697411
"Prostate","1.46 (1.15-1.86)",0.00285940592456512
"Skin","1.19 (0.97-1.47)",0.0978425356183558
