"Organ","OR (95% CI)","FDR"
"Adipose","1.47 (1.27-1.70)",4.5806906378695e-07
"Brain","1.44 (1.24-1.67)",2.32064995553716e-06
"Cardiovascular","1.51 (1.33-1.71)",1.10492615226349e-09
"Endocrine","1.62 (1.41-1.87)",1.64989454475014e-10
"Gastrointestinal","1.41 (1.21-1.64)",2.3626862457097e-05
"Immune","1.45 (1.27-1.66)",1.21040943293831e-07
"Kidney and Bladder","1.54 (1.34-1.77)",3.32504151616635e-09
"Liver","1.38 (1.20-1.60)",2.13455472350584e-05
"Lung","1.33 (1.14-1.55)",0.000370780727095516
"Muscle","1.21 (1.05-1.41)",0.0104790911206925
"Nerve","1.38 (1.18-1.62)",0.000129665568680137
"Ovary","1.50 (1.22-1.86)",0.000199566219021809
"Pancreas","1.56 (1.36-1.78)",1.10492615226349e-09
"Prostate","1.20 (0.99-1.46)",0.0576944837718466
"Skin","1.28 (1.10-1.48)",0.00131477332211768
