"Organ","OR (95% CI)","FDR"
"Adipose","2.12 (1.75-2.55)",3.50579078208176e-14
"Brain","2.19 (1.78-2.69)",7.40025394183942e-13
"Cardiovascular","2.00 (1.69-2.36)",1.70762258348263e-14
"Endocrine","1.86 (1.49-2.32)",4.02026271912283e-08
"Gastrointestinal","1.90 (1.55-2.32)",6.33324099586262e-10
"Immune","1.98 (1.65-2.39)",1.27855660738476e-12
"Kidney and Bladder","1.84 (1.51-2.25)",3.28386106167349e-09
"Liver","2.00 (1.60-2.50)",2.34903552539461e-09
"Lung","1.90 (1.55-2.34)",2.30428590454288e-09
"Muscle","1.57 (1.06-2.33)",0.024871985222285
"Nerve","2.13 (1.69-2.67)",2.06631213533982e-10
"Ovary","1.87 (1.38-2.53)",5.68697735000786e-05
"Pancreas","1.93 (1.49-2.49)",5.18224818315454e-07
"Prostate","2.01 (1.53-2.62)",4.51716504071051e-07
"Skin","1.90 (1.57-2.30)",1.25883019001308e-10
