"Organ","OR (95% CI)","FDR"
"Adipose","1.28 (0.97-1.69)",0.195453402108696
"Brain","1.37 (1.08-1.73)",0.031988710736493
"Cardiovascular","1.03 (0.77-1.38)",0.90899391719021
"Endocrine","1.07 (0.78-1.46)",0.883088468220473
"Gastrointestinal","1.41 (1.16-1.71)",0.00410653931264737
"Immune","1.12 (0.86-1.46)",0.579018120560445
"Kidney and Bladder","1.13 (0.84-1.52)",0.579018120560445
"Liver","1.21 (0.93-1.57)",0.326255183343507
"Lung","1.36 (1.01-1.83)",0.113888100764121
"Muscle","0.97 (0.70-1.34)",0.90899391719021
"Nerve","1.01 (0.77-1.33)",0.924313290519648
"Ovary","NA (NA-NA)",NA
"Pancreas","1.15 (0.87-1.54)",0.5784906087936
"Prostate","1.43 (1.12-1.83)",0.0178809339467179
"Skin","1.49 (1.20-1.86)",0.00410653931264737
