"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.00-0.12)",0.0669159445869253
"Brain","0.11 (0.06-0.17)",0.000399402640731868
"Cardiovascular","0.15 (0.09-0.20)",2.44212212832387e-06
"Endocrine","0.08 (0.02-0.13)",0.0210945516418683
"Gastrointestinal","0.17 (0.12-0.23)",1.85779956030623e-08
"Immune","0.14 (0.09-0.20)",5.39269339816312e-06
"Kidney_urinary","0.14 (0.08-0.19)",9.75370008998076e-06
"Liver","0.16 (0.10-0.21)",3.96376942685797e-07
"Lung","0.13 (0.08-0.19)",3.14657145047212e-05
"Muscle","0.03 (-0.03-0.08)",0.48065171631514
"Nerve","0.08 (0.02-0.13)",0.0162899520218741
"Ovary","0.13 (0.06-0.21)",0.00133538580447884
"Pancreas","0.11 (0.05-0.16)",0.000662042837278926
"Prostate","0.03 (-0.06-0.12)",0.544798029571211
"Skin","0.06 (0.01-0.12)",0.0549271358823145
