"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.40 (-0.44--0.36)",3.55314551369135e-86
"Brain","-0.36 (-0.40--0.32)",4.40573536738128e-67
"Cardiovascular","-0.39 (-0.43--0.35)",5.84860823727474e-82
"Endocrine","-0.42 (-0.45--0.38)",4.05540634828545e-93
"Gastrointestinal","-0.34 (-0.38--0.30)",5.89143861932513e-61
"Immune","-0.42 (-0.46--0.39)",1.01777210965883e-96
"Kidney_urinary","-0.45 (-0.48--0.41)",5.5701915110572e-108
"Liver","-0.35 (-0.39--0.31)",4.24961590318371e-63
"Lung","-0.34 (-0.37--0.30)",7.40170887730113e-59
"Muscle","-0.27 (-0.31--0.23)",4.28820409643064e-38
"Nerve","-0.37 (-0.41--0.33)",5.75434193662928e-72
"Ovary","-0.35 (-0.40--0.29)",6.764152341071e-32
"Pancreas","-0.35 (-0.39--0.32)",2.76956816691916e-66
"Prostate","-0.28 (-0.34--0.22)",1.62128583195426e-17
"Skin","-0.36 (-0.40--0.32)",3.34996374953244e-69
