"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.01 (-0.08-0.05)",0.698510362305526
"Brain","0.03 (-0.03-0.09)",0.453640168472422
"Cardiovascular","-0.01 (-0.07-0.05)",0.731099147769185
"Endocrine","0.01 (-0.05-0.07)",0.731099147769185
"Gastrointestinal","0.07 (0.01-0.13)",0.0542235493607107
"Immune","0.11 (0.05-0.17)",0.00126932939713383
"Kidney_urinary","0.04 (-0.02-0.10)",0.304938542365094
"Liver","0.03 (-0.03-0.09)",0.450933857109252
"Lung","0.01 (-0.05-0.07)",0.777980001849136
"Muscle","0.06 (0.00-0.12)",0.0777200113954664
"Nerve","0.01 (-0.05-0.07)",0.872264508018767
"Ovary","-0.03 (-0.11-0.05)",0.538947492968386
"Pancreas","0.04 (-0.02-0.11)",0.213388235107549
"Prostate","-0.12 (-0.22--0.02)",0.0362665196284154
"Skin","-0.00 (-0.06-0.06)",0.951868523632109
