"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.03-0.14)",0.011247725068918
"Brain","0.09 (0.03-0.15)",0.00521519003498325
"Cardiovascular","0.08 (0.02-0.13)",0.0266898038580404
"Endocrine","0.06 (-0.00-0.12)",0.0912843322738737
"Gastrointestinal","0.20 (0.14-0.26)",3.39541947155301e-10
"Immune","0.21 (0.15-0.27)",3.20914268079284e-11
"Kidney_urinary","0.06 (-0.00-0.12)",0.0875639881477417
"Liver","0.18 (0.12-0.24)",2.82127385760788e-08
"Lung","0.12 (0.06-0.18)",0.000257585561224865
"Muscle","0.04 (-0.02-0.10)",0.210372719365371
"Nerve","0.14 (0.08-0.20)",1.23517151521108e-05
"Ovary","0.07 (-0.01-0.14)",0.138185599940265
"Pancreas","0.02 (-0.04-0.08)",0.585825919294663
"Prostate","0.04 (-0.05-0.13)",0.493582200653078
"Skin","0.13 (0.07-0.18)",0.000175110734126039
