"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.35 (-0.41--0.29)",3.5106393661412e-27
"Brain","-0.33 (-0.39--0.27)",2.23982825902002e-23
"Cardiovascular","-0.37 (-0.43--0.31)",4.64076152318991e-30
"Endocrine","-0.37 (-0.43--0.31)",4.64076152318991e-30
"Gastrointestinal","-0.27 (-0.34--0.21)",1.3959880479835e-16
"Immune","-0.36 (-0.42--0.30)",8.82138460856066e-29
"Kidney_urinary","-0.42 (-0.47--0.36)",1.61742632201713e-38
"Liver","-0.31 (-0.37--0.25)",3.15436885041544e-21
"Lung","-0.30 (-0.36--0.24)",3.12832179558686e-20
"Muscle","-0.26 (-0.32--0.20)",9.60065442563577e-15
"Nerve","-0.33 (-0.39--0.27)",1.13259250379405e-23
"Ovary","-0.26 (-0.35--0.17)",9.70499245759875e-08
"Pancreas","-0.31 (-0.37--0.25)",6.18739519193423e-21
"Prostate","-0.28 (-0.37--0.20)",3.19332001354286e-09
"Skin","-0.31 (-0.37--0.25)",9.84483133513315e-22
