"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.06 (-0.12--0.00)",0.0669159445869253
"Brain","-0.08 (-0.13--0.02)",0.0187683078457077
"Cardiovascular","-0.09 (-0.14--0.03)",0.00770925671840512
"Endocrine","-0.05 (-0.11-0.01)",0.134033492349339
"Gastrointestinal","-0.08 (-0.14--0.03)",0.0107397313226258
"Immune","-0.03 (-0.08-0.03)",0.453749148670368
"Kidney_urinary","-0.06 (-0.12--0.00)",0.0669159445869253
"Liver","-0.04 (-0.10-0.01)",0.196128031074645
"Lung","-0.06 (-0.11--0.00)",0.0816774399187881
"Muscle","-0.01 (-0.07-0.04)",0.686075601026047
"Nerve","-0.07 (-0.12--0.01)",0.0440198409047253
"Ovary","-0.03 (-0.11-0.04)",0.495013032159279
"Pancreas","-0.04 (-0.10-0.01)",0.194203634675009
"Prostate","-0.01 (-0.10-0.08)",0.815283207500203
"Skin","-0.03 (-0.08-0.03)",0.473698841407173
