"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (-0.05-0.18)",0.351886771833819
"Brain","0.07 (-0.05-0.19)",0.337780178581854
"Cardiovascular","0.20 (0.08-0.33)",0.00418601422600713
"Endocrine","0.25 (0.13-0.38)",0.000269486606048841
"Gastrointestinal","0.34 (0.22-0.47)",1.23185578236238e-06
"Immune","0.13 (0.02-0.24)",0.0494327086632224
"Kidney_urinary","0.29 (0.17-0.42)",2.23167529712629e-05
"Liver","0.08 (-0.04-0.19)",0.28414914731272
"Lung","0.14 (0.02-0.25)",0.0494327086632224
"Muscle","-0.11 (-0.23-0.01)",0.114514418175048
"Nerve","0.16 (0.04-0.29)",0.0264693074600515
"Ovary","0.05 (-0.11-0.22)",0.548963152771075
"Pancreas","0.06 (-0.06-0.17)",0.375642302218807
"Prostate","-0.21 (-0.39--0.02)",0.0618919817991835
"Skin","0.03 (-0.08-0.15)",0.568957576159489
