"Organ","Effect (95% CI)","FDR"
"Adipose","1.21 (1.11-1.31)",1.11468898995862e-05
"Brain","1.34 (1.25-1.45)",1.08037883856427e-13
"Cardiovascular","1.39 (1.29-1.50)",1.55440053069403e-17
"Endocrine","1.53 (1.42-1.65)",7.88332453439961e-28
"Gastrointestinal","1.45 (1.35-1.56)",4.92015222929286e-22
"Immune","1.33 (1.23-1.44)",8.30458711709777e-13
"Kidney And Bladder","1.52 (1.42-1.64)",3.34181628720509e-30
"Liver","1.34 (1.24-1.45)",2.56589863254804e-12
"Lung","1.34 (1.24-1.45)",1.37396130303555e-13
"Muscle","1.18 (1.10-1.27)",7.64429165045137e-06
"Nerve","1.41 (1.31-1.52)",1.62863360195942e-19
"Ovary","1.14 (1.00-1.29)",0.0449444193694047
"Pancreas","1.24 (1.14-1.35)",6.89806858697157e-07
"Prostate","1.16 (1.04-1.30)",0.00984141087144473
"Skin","1.19 (1.08-1.30)",0.000204918218755829
