"Organ","Effect (95% CI)","FDR"
"Adipose","1.08 (1.02-1.15)",0.0128310670045081
"Brain","1.15 (1.08-1.22)",2.37392840691596e-05
"Cardiovascular","1.18 (1.11-1.25)",1.40778404567967e-06
"Endocrine","1.15 (1.08-1.22)",2.37392840691596e-05
"Gastrointestinal","1.15 (1.07-1.22)",9.00225813195105e-05
"Immune","1.16 (1.09-1.23)",7.2062462623754e-06
"Kidney And Bladder","1.19 (1.12-1.26)",1.32873588402508e-07
"Liver","1.17 (1.10-1.25)",5.62458525056162e-06
"Lung","1.12 (1.05-1.19)",0.0005760199502702
"Muscle","1.02 (0.96-1.08)",0.591764361539979
"Nerve","1.10 (1.03-1.17)",0.00334878416027556
"Ovary","1.10 (1.00-1.20)",0.0557059083095506
"Pancreas","1.02 (0.96-1.08)",0.606714260087492
"Prostate","1.04 (0.96-1.14)",0.412603864898442
"Skin","1.11 (1.04-1.19)",0.00152659804510179
