"Organ","Effect (95% CI)","FDR"
"Adipose","1.15 (1.09-1.21)",6.31608981377922e-07
"Brain","1.13 (1.08-1.19)",9.66672856469613e-07
"Cardiovascular","1.14 (1.08-1.19)",9.66672856469613e-07
"Endocrine","1.16 (1.09-1.22)",1.10413419612748e-06
"Gastrointestinal","1.12 (1.07-1.18)",2.86496021984321e-06
"Immune","1.14 (1.09-1.20)",6.31608981377922e-07
"Kidney And Bladder","1.20 (1.14-1.26)",1.9189561791456e-11
"Liver","1.11 (1.06-1.17)",5.76139422564e-05
"Lung","1.11 (1.06-1.17)",4.96004201864924e-05
"Muscle","1.08 (1.04-1.12)",0.000149874893484448
"Nerve","1.12 (1.07-1.18)",2.86496021984321e-06
"Ovary","1.10 (1.00-1.21)",0.0434430852241589
"Pancreas","1.12 (1.07-1.18)",8.05851939167184e-06
"Prostate","1.16 (1.09-1.23)",5.05122473663649e-06
"Skin","1.11 (1.05-1.16)",0.000100088252608444
