"Organ","Effect (95% CI)","FDR"
"Adipose","1.07 (1.03-1.10)",0.000119915537708441
"Brain","1.11 (1.08-1.15)",8.02687753256914e-11
"Cardiovascular","1.18 (1.15-1.22)",5.43770573784326e-24
"Endocrine","1.14 (1.10-1.18)",1.82301755833555e-13
"Gastrointestinal","1.17 (1.14-1.21)",1.01643849680618e-21
"Immune","1.12 (1.08-1.15)",2.26810131093009e-12
"Kidney And Bladder","1.18 (1.14-1.21)",5.62442304562712e-23
"Liver","1.16 (1.12-1.20)",7.51338045055948e-19
"Lung","1.12 (1.09-1.16)",2.0316763595237e-12
"Muscle","1.09 (1.05-1.12)",1.23173225697067e-07
"Nerve","1.14 (1.10-1.18)",4.71855187040293e-16
"Ovary","1.12 (1.06-1.18)",6.33749410132772e-05
"Pancreas","1.07 (1.04-1.10)",5.21497199161587e-05
"Prostate","1.04 (1.00-1.09)",0.0495446455324677
"Skin","1.06 (1.03-1.10)",7.88909027047852e-05
