"Organ","Effect (95% CI)","FDR"
"Adipose","1.05 (0.99-1.11)",0.135408747792344
"Brain","1.14 (1.08-1.20)",6.57295787241161e-06
"Cardiovascular","1.07 (1.01-1.13)",0.0228190048594315
"Endocrine","1.06 (1.00-1.13)",0.06674471997042
"Gastrointestinal","1.17 (1.11-1.24)",6.15921671972523e-08
"Immune","1.12 (1.07-1.19)",8.81175259800785e-05
"Kidney And Bladder","1.11 (1.05-1.17)",0.0014381102479342
"Liver","1.08 (1.02-1.14)",0.0118822505122178
"Lung","1.09 (1.03-1.16)",0.00918712867654302
"Muscle","1.05 (1.00-1.11)",0.0579659374196541
"Nerve","1.09 (1.03-1.14)",0.00592682918947206
"Ovary","1.11 (1.03-1.19)",0.0118822505122178
"Pancreas","1.05 (1.00-1.11)",0.0699459109556141
"Prostate","1.05 (0.97-1.14)",0.201661504538009
"Skin","1.10 (1.04-1.16)",0.0014381102479342
