"Organ","OR (95% CI)","FDR"
"Adipose","1.36 (1.03-1.79)",0.0516365851839795
"Brain","1.49 (1.11-1.99)",0.0180338111717671
"Cardiovascular","1.64 (1.31-2.04)",0.000200679064396904
"Endocrine","1.56 (1.16-2.09)",0.00871290582691953
"Gastrointestinal","1.44 (1.07-1.93)",0.0307778290928476
"Immune","1.74 (1.32-2.28)",0.000602591332032406
"Kidney and Bladder","1.76 (1.32-2.34)",0.000618291181269183
"Liver","1.22 (0.91-1.64)",0.240475427609906
"Lung","1.18 (0.91-1.55)",0.24881363026192
"Muscle","1.22 (1.04-1.44)",0.0307778290928476
"Nerve","1.66 (1.22-2.26)",0.00445440138600388
"Ovary","0.94 (0.63-1.39)",0.743230999233351
"Pancreas","1.29 (0.92-1.81)",0.180537124370655
"Prostate","1.17 (0.81-1.69)",0.441439418890539
"Skin","1.36 (0.97-1.91)",0.107827321829697
