"Organ","OR (95% CI)","FDR"
"Adipose","1.25 (1.04-1.49)",0.0383325814729903
"Brain","1.31 (1.09-1.56)",0.0112899319983414
"Cardiovascular","1.37 (1.16-1.61)",0.00180017768904885
"Endocrine","1.44 (1.19-1.73)",0.00180017768904885
"Gastrointestinal","1.27 (1.06-1.52)",0.0246592510814303
"Immune","1.24 (1.03-1.49)",0.0397364535624444
"Kidney and Bladder","1.37 (1.14-1.65)",0.00370300853905878
"Liver","1.23 (1.03-1.46)",0.0397364535624444
"Lung","1.12 (0.92-1.37)",0.336257164313836
"Muscle","1.11 (0.97-1.27)",0.161187953124148
"Nerve","1.21 (0.98-1.49)",0.121602886730143
"Ovary","1.02 (0.78-1.34)",0.886914828673866
"Pancreas","1.36 (1.15-1.62)",0.00185664209004458
"Prostate","1.09 (0.89-1.34)",0.470151525207751
"Skin","1.03 (0.87-1.21)",0.817040142981978
