"Organ","OR (95% CI)","FDR"
"Adipose","1.37 (1.12-1.67)",0.00982468926517599
"Brain","1.18 (0.96-1.45)",0.203610938234155
"Cardiovascular","1.36 (1.14-1.61)",0.00777576452838216
"Endocrine","1.24 (0.99-1.55)",0.115273407375202
"Gastrointestinal","1.33 (1.09-1.61)",0.0188089407725729
"Immune","1.21 (0.99-1.48)",0.115273407375202
"Kidney and Bladder","1.10 (0.87-1.39)",0.539212854631148
"Liver","1.18 (0.99-1.40)",0.115273407375202
"Lung","1.14 (0.93-1.39)",0.279393771761435
"Muscle","1.11 (0.95-1.30)",0.279393771761435
"Nerve","1.29 (1.05-1.59)",0.0435609934134048
"Ovary","1.55 (1.19-2.02)",0.00777576452838216
"Pancreas","1.08 (0.87-1.35)",0.539212854631148
"Prostate","1.02 (0.81-1.28)",0.8800917610968
"Skin","0.95 (0.79-1.14)",0.603191794178987
