"Organ","HR (95% CI)","FDR"
"Adipose","1.06 (0.97-1.15)",0.256126321468797
"Brain","1.10 (1.01-1.19)",0.057633842541841
"Cardiovascular","1.25 (1.15-1.36)",1.91691691904834e-06
"Endocrine","1.05 (0.96-1.15)",0.343849273756223
"Gastrointestinal","1.24 (1.14-1.35)",3.99350176429752e-06
"Immune","1.10 (1.01-1.19)",0.057633842541841
"Kidney and Bladder","1.08 (0.99-1.19)",0.164622852743494
"Liver","1.24 (1.15-1.35)",1.91691691904834e-06
"Lung","1.10 (1.01-1.20)",0.057633842541841
"Muscle","1.06 (0.99-1.13)",0.164622852743494
"Nerve","1.18 (1.09-1.29)",0.00028704430477406
"Ovary","1.02 (0.86-1.21)",0.828006234505248
"Pancreas","1.07 (0.98-1.16)",0.164622852743494
"Prostate","1.13 (1.03-1.24)",0.0226173101539832
"Skin","1.01 (0.94-1.09)",0.816130980003723
