"Organ","HR (95% CI)","FDR"
"Adipose","1.06 (0.99-1.14)",0.165238435719637
"Brain","1.09 (1.03-1.15)",0.00574795206627813
"Cardiovascular","1.15 (1.09-1.22)",1.24406792162533e-05
"Endocrine","1.14 (1.07-1.21)",6.02815199705943e-05
"Gastrointestinal","1.11 (1.05-1.17)",0.000711833212439823
"Immune","1.08 (1.02-1.15)",0.0129254051911165
"Kidney and Bladder","1.18 (1.11-1.25)",4.01323164385982e-07
"Liver","1.11 (1.05-1.17)",0.000871424080838674
"Lung","1.05 (0.99-1.13)",0.165515650523036
"Muscle","1.00 (0.95-1.06)",0.961598526002348
"Nerve","1.13 (1.06-1.19)",0.000170045760991889
"Ovary","1.04 (0.97-1.12)",0.344339466428048
"Pancreas","1.07 (1.01-1.13)",0.0399858371547472
"Prostate","1.04 (0.96-1.12)",0.412210135384527
"Skin","1.00 (0.95-1.06)",0.961598526002348
