"Organ","HR (95% CI)","FDR"
"Adipose","1.89 (1.38-2.58)",0.000246023967432904
"Brain","1.76 (1.32-2.35)",0.000329134103682149
"Cardiovascular","1.57 (1.20-2.06)",0.00217606550614173
"Endocrine","1.81 (1.32-2.48)",0.000474088312927045
"Gastrointestinal","2.19 (1.74-2.75)",2.50715418451486e-10
"Immune","1.88 (1.49-2.38)",1.15320282499717e-06
"Kidney and Bladder","1.81 (1.34-2.44)",0.000311124654051372
"Liver","1.64 (1.18-2.27)",0.00511664155196332
"Lung","1.79 (1.40-2.28)",1.47892599136255e-05
"Muscle","1.12 (0.83-1.52)",0.487046266583842
"Nerve","1.63 (1.18-2.25)",0.00511664155196332
"Ovary","1.27 (0.83-1.95)",0.310328986891897
"Pancreas","1.47 (1.00-2.18)",0.0692130125809896
"Prostate","0.90 (0.51-1.57)",0.705512354958317
"Skin","1.22 (0.87-1.69)",0.305728582770043
