"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.04 (-0.08--0.00)",0.0472856537077445
"Brain","0.04 (-0.00-0.07)",0.0795128159827621
"Cardiovascular","-0.03 (-0.07-0.00)",0.108212579345209
"Endocrine","-0.03 (-0.06-0.01)",0.204954494773626
"Gastrointestinal","-0.06 (-0.10--0.02)",0.00355760916644491
"Immune","0.05 (0.01-0.09)",0.0123222677685638
"Kidney_urinary","0.05 (0.02-0.09)",0.00752189517008636
"Liver","0.05 (0.01-0.09)",0.0130181964656793
"Lung","-0.04 (-0.08--0.01)",0.0265554744051532
"Muscle","0.09 (0.06-0.13)",2.04751106607701e-06
"Nerve","0.01 (-0.03-0.04)",0.829170912361347
"Ovary","-0.04 (-0.09-0.01)",0.198789559067796
"Pancreas","0.03 (-0.01-0.06)",0.204954494773626
"Prostate","-0.10 (-0.16--0.04)",0.00254795382615044
"Skin","0.05 (0.02-0.09)",0.00615436456958371
