"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.04-0.15)",0.00352582579619025
"Brain","0.09 (0.04-0.15)",0.0031338200927484
"Cardiovascular","0.02 (-0.03-0.08)",0.508005022386483
"Endocrine","0.05 (-0.01-0.11)",0.136700902679729
"Gastrointestinal","0.05 (-0.00-0.11)",0.101576357805136
"Immune","0.05 (-0.01-0.11)",0.136700902679729
"Kidney_urinary","0.13 (0.07-0.18)",6.11243200548054e-05
"Liver","0.02 (-0.03-0.08)",0.495065756461329
"Lung","0.06 (0.00-0.12)",0.0669159445869253
"Muscle","0.01 (-0.05-0.06)",0.815283207500203
"Nerve","0.04 (-0.02-0.09)",0.279429267201999
"Ovary","0.06 (-0.01-0.14)",0.140798789625232
"Pancreas","0.02 (-0.04-0.07)",0.609573367208075
"Prostate","-0.09 (-0.18--0.00)",0.0814017961537436
"Skin","0.09 (0.03-0.14)",0.00741605777032383
