"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.42 (-0.46--0.39)",1.79301196247828e-96
"Brain","-0.35 (-0.39--0.31)",3.89759037849751e-65
"Cardiovascular","-0.37 (-0.41--0.34)",3.9027309015821e-74
"Endocrine","-0.42 (-0.46--0.39)",1.91977108604516e-96
"Gastrointestinal","-0.34 (-0.38--0.30)",1.84297975406958e-60
"Immune","-0.42 (-0.46--0.38)",9.86618046825269e-96
"Kidney_urinary","-0.45 (-0.49--0.41)",5.07412402337812e-111
"Liver","-0.34 (-0.38--0.30)",2.93812996053369e-59
"Lung","-0.35 (-0.38--0.31)",9.1978328950848e-63
"Muscle","-0.30 (-0.33--0.26)",3.3087551412706e-45
"Nerve","-0.37 (-0.41--0.33)",3.7545926780202e-73
"Ovary","-0.33 (-0.39--0.27)",6.03426758240457e-29
"Pancreas","-0.35 (-0.39--0.31)",1.26293359389155e-63
"Prostate","-0.27 (-0.34--0.21)",4.28152501096515e-17
"Skin","-0.36 (-0.40--0.32)",3.90977223861801e-68
