"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.04-0.11)",0.000119451738844076
"Brain","0.11 (0.07-0.15)",5.81945908961814e-09
"Cardiovascular","0.03 (-0.00-0.07)",0.0989562718867206
"Endocrine","0.06 (0.03-0.10)",0.00096054596506516
"Gastrointestinal","0.07 (0.03-0.10)",0.00035493600806216
"Immune","0.05 (0.01-0.09)",0.00908123700920552
"Kidney_urinary","0.13 (0.09-0.16)",8.99326307559754e-12
"Liver","0.05 (0.01-0.09)",0.0108374199970271
"Lung","0.03 (-0.00-0.07)",0.0820607874152475
"Muscle","0.05 (0.01-0.08)",0.0167144150606544
"Nerve","0.04 (0.00-0.07)",0.0607382573922246
"Ovary","0.04 (-0.01-0.09)",0.107235409888879
"Pancreas","0.02 (-0.01-0.06)",0.255431590757902
"Prostate","-0.06 (-0.12--0.00)",0.0580284303715941
"Skin","0.11 (0.07-0.14)",1.47223222020353e-08
