"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.06-0.13)",1.68179521966017e-06
"Brain","0.15 (0.11-0.18)",2.44309833692766e-15
"Cardiovascular","0.12 (0.08-0.15)",6.1099046238918e-10
"Endocrine","0.11 (0.08-0.15)",4.43855042957571e-09
"Gastrointestinal","0.12 (0.08-0.15)",6.1099046238918e-10
"Immune","0.13 (0.10-0.17)",1.52417156067188e-12
"Kidney_urinary","0.21 (0.17-0.24)",3.57914580719989e-29
"Liver","0.11 (0.07-0.14)",1.69223031209729e-08
"Lung","0.07 (0.03-0.10)",0.000537518135375106
"Muscle","0.11 (0.08-0.15)",4.14009451276397e-09
"Nerve","0.05 (0.02-0.09)",0.00516674028375779
"Ovary","0.11 (0.06-0.16)",1.32388804563932e-05
"Pancreas","0.14 (0.10-0.18)",9.21706630977851e-14
"Prostate","-0.05 (-0.11-0.01)",0.114041446763345
"Skin","0.11 (0.08-0.15)",3.46473207357016e-09
