"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.06 (-0.11-0.00)",0.0954203914879092
"Brain","0.00 (-0.05-0.06)",0.917105458623698
"Cardiovascular","-0.07 (-0.12--0.01)",0.0524783917099379
"Endocrine","-0.07 (-0.12--0.01)",0.0524783917099379
"Gastrointestinal","-0.05 (-0.11-0.01)",0.162943596477714
"Immune","0.06 (0.00-0.12)",0.0804225338763778
"Kidney_urinary","0.00 (-0.06-0.06)",0.956719658388319
"Liver","-0.02 (-0.08-0.04)",0.594611066720788
"Lung","-0.06 (-0.11-0.00)",0.101572798247163
"Muscle","0.05 (-0.01-0.11)",0.17487906091556
"Nerve","-0.05 (-0.11-0.00)",0.113596644454549
"Ovary","-0.03 (-0.11-0.04)",0.497581566410483
"Pancreas","0.03 (-0.03-0.09)",0.438022570539035
"Prostate","-0.13 (-0.22--0.04)",0.0106457157014365
"Skin","-0.01 (-0.07-0.05)",0.823635047898062
