"Organ","Effect (95% CI)","FDR"
"Adipose","1.27 (1.07-1.52)",0.00891720619401936
"Brain","1.44 (1.20-1.74)",0.000182887762510892
"Cardiovascular","1.67 (1.40-2.00)",1.00092280466649e-07
"Endocrine","1.54 (1.28-1.84)",1.00393762674561e-05
"Gastrointestinal","1.65 (1.39-1.96)",1.00092280466649e-07
"Immune","1.45 (1.24-1.71)",1.22361722672898e-05
"Kidney And Bladder","1.66 (1.40-1.97)",1.00092280466649e-07
"Liver","1.54 (1.30-1.82)",1.3756631294235e-06
"Lung","1.45 (1.23-1.71)",2.43745764453089e-05
"Muscle","1.38 (1.17-1.62)",0.000169037936311889
"Nerve","1.60 (1.35-1.89)",2.17772124671331e-07
"Ovary","1.10 (0.84-1.44)",0.504303314029393
"Pancreas","1.23 (1.02-1.48)",0.0319989431656917
"Prostate","1.80 (1.32-2.47)",0.000329097530900538
"Skin","1.24 (1.05-1.47)",0.0140450115957997
