"Organ","Effect (95% CI)","FDR"
"Adipose","1.26 (1.14-1.40)",7.77921694437245e-06
"Brain","1.32 (1.19-1.46)",2.05823386872727e-07
"Cardiovascular","1.41 (1.28-1.55)",4.20267126298663e-11
"Endocrine","1.38 (1.24-1.53)",3.88707762046371e-09
"Gastrointestinal","1.37 (1.22-1.55)",2.24726999301574e-07
"Immune","1.41 (1.29-1.55)",9.09445324094143e-13
"Kidney And Bladder","1.40 (1.26-1.55)",5.20514549551547e-10
"Liver","1.33 (1.19-1.48)",2.29019000797955e-07
"Lung","1.28 (1.14-1.44)",4.80569908679223e-05
"Muscle","1.22 (1.13-1.33)",2.21670726707879e-06
"Nerve","1.37 (1.22-1.53)",1.24827606628009e-07
"Ovary","1.36 (1.16-1.60)",0.000146174594047374
"Pancreas","1.37 (1.25-1.50)",6.85337134111879e-11
"Prostate","1.41 (1.24-1.59)",1.13279239806528e-07
"Skin","1.19 (1.08-1.31)",0.000332689641798551
