"Organ","Effect (95% CI)","FDR"
"Adipose","1.06 (0.96-1.17)",0.692996639275905
"Brain","0.98 (0.89-1.08)",0.786387831308889
"Cardiovascular","0.97 (0.88-1.06)",0.786387831308889
"Endocrine","1.06 (0.96-1.17)",0.692996639275905
"Gastrointestinal","0.97 (0.88-1.08)",0.786387831308889
"Immune","1.09 (0.98-1.20)",0.692996639275905
"Kidney And Bladder","1.06 (0.96-1.18)",0.692996639275905
"Liver","0.96 (0.87-1.06)",0.781778138600727
"Lung","1.03 (0.94-1.14)",0.786387831308889
"Muscle","0.95 (0.87-1.04)",0.692996639275905
"Nerve","1.01 (0.92-1.10)",0.924482417606221
"Ovary","1.01 (0.87-1.16)",0.924482417606221
"Pancreas","1.04 (0.94-1.15)",0.781778138600727
"Prostate","1.14 (0.98-1.31)",0.692996639275905
"Skin","0.98 (0.89-1.08)",0.842043635964203
