"Organ","Effect (95% CI)","FDR"
"Adipose","1.37 (1.11-1.70)",0.00601532825625755
"Brain","1.58 (1.33-1.88)",1.42830228134853e-06
"Cardiovascular","1.53 (1.29-1.81)",3.02404089135261e-06
"Endocrine","1.44 (1.22-1.70)",3.62536724240392e-05
"Gastrointestinal","1.63 (1.37-1.94)",6.84334927601001e-07
"Immune","1.46 (1.22-1.75)",7.28445968956078e-05
"Kidney And Bladder","1.46 (1.25-1.71)",6.19432324491775e-06
"Liver","1.41 (1.11-1.78)",0.00647643491962332
"Lung","1.35 (1.09-1.66)",0.00723378177384225
"Muscle","1.12 (0.94-1.33)",0.230921239956925
"Nerve","1.58 (1.29-1.94)",3.62536724240392e-05
"Ovary","1.07 (0.75-1.52)",0.70057047947791
"Pancreas","1.29 (1.02-1.63)",0.0358587769399252
"Prostate","1.35 (1.03-1.77)",0.0358587769399252
"Skin","1.45 (1.20-1.74)",0.00018868026967413
