"Organ","Effect (95% CI)","FDR"
"Adipose","1.39 (0.97-1.98)",0.0882538123780596
"Brain","1.47 (1.10-1.97)",0.0211924935387048
"Cardiovascular","1.43 (1.07-1.90)",0.0312484664711768
"Endocrine","1.48 (1.19-1.85)",0.00121129548256144
"Gastrointestinal","1.82 (1.34-2.47)",0.000603261604899718
"Immune","1.70 (1.36-2.12)",3.57569814341498e-05
"Kidney And Bladder","1.52 (1.21-1.91)",0.00121129548256144
"Liver","1.61 (1.02-2.54)",0.0608968564767368
"Lung","1.45 (0.91-2.29)",0.134758217052029
"Muscle","1.16 (0.90-1.49)",0.256325158708676
"Nerve","1.47 (1.04-2.08)",0.045965077244686
"Ovary","1.41 (0.60-3.31)",0.42843531749832
"Pancreas","1.45 (0.99-2.10)",0.072989771091911
"Prostate","2.35 (1.62-3.42)",5.60796064832421e-05
"Skin","1.53 (1.13-2.08)",0.0155368409948658
