"Organ","Effect (95% CI)","FDR"
"Adipose","1.24 (0.94-1.63)",0.2800181320338
"Brain","1.07 (0.83-1.39)",0.946239253287688
"Cardiovascular","1.00 (0.77-1.31)",0.973365400746378
"Endocrine","1.27 (0.95-1.69)",0.2800181320338
"Gastrointestinal","0.79 (0.59-1.05)",0.2800181320338
"Immune","0.98 (0.76-1.25)",0.973365400746378
"Kidney And Bladder","1.28 (0.99-1.67)",0.2800181320338
"Liver","1.28 (0.97-1.70)",0.2800181320338
"Lung","1.23 (0.95-1.60)",0.2800181320338
"Muscle","1.06 (0.84-1.34)",0.946239253287688
"Nerve","1.01 (0.77-1.33)",0.973365400746378
"Ovary","1.01 (0.72-1.42)",0.973365400746378
"Pancreas","1.20 (0.95-1.52)",0.2800181320338
"Prostate","1.37 (0.86-2.19)",0.348217289626848
"Skin","1.01 (0.78-1.30)",0.973365400746378
