"Organ","Effect (95% CI)","FDR"
"Adipose","0.97 (0.76-1.25)",0.964875209614606
"Brain","1.25 (1.00-1.58)",0.412712253131927
"Cardiovascular","1.25 (0.94-1.67)",0.526013838957419
"Endocrine","0.94 (0.73-1.21)",0.964875209614606
"Gastrointestinal","1.27 (1.01-1.58)",0.412712253131927
"Immune","1.11 (0.90-1.37)",0.736716317705002
"Kidney And Bladder","1.09 (0.85-1.40)",0.917330842833712
"Liver","1.18 (0.93-1.50)",0.542540840855325
"Lung","0.98 (0.75-1.29)",0.964875209614606
"Muscle","1.10 (0.91-1.33)",0.736716317705002
"Nerve","1.25 (0.93-1.68)",0.526013838957419
"Ovary","0.92 (0.59-1.43)",0.964875209614606
"Pancreas","1.00 (0.82-1.24)",0.967478739296842
"Prostate","0.96 (0.71-1.31)",0.964875209614606
"Skin","1.02 (0.81-1.29)",0.964875209614606
