"Organ","Effect (95% CI)","FDR"
"Adipose","1.31 (0.94-1.85)",0.325307052300003
"Brain","1.24 (0.92-1.67)",0.325307052300003
"Cardiovascular","1.31 (0.84-2.05)",0.441981553712863
"Endocrine","1.39 (0.90-2.14)",0.325307052300003
"Gastrointestinal","1.49 (1.03-2.15)",0.266392839632424
"Immune","1.21 (0.84-1.75)",0.459130799833377
"Kidney And Bladder","1.48 (0.94-2.33)",0.325307052300003
"Liver","1.24 (0.84-1.85)",0.459130799833377
"Lung","1.37 (0.96-1.96)",0.325307052300003
"Muscle","0.96 (0.62-1.50)",0.925622359526423
"Nerve","1.16 (0.78-1.72)",0.619420538503023
"Ovary","4.2e+00 (1.5e+00-1.1e+01)",0.0768125422954743
"Pancreas","1.12 (0.80-1.57)",0.619420538503023
"Prostate","1.03 (0.56-1.90)",0.925622359526423
"Skin","1.03 (0.70-1.52)",0.925622359526423
