"Organ","Effect (95% CI)","FDR"
"Adipose","1.29 (0.58-2.85)",0.981846558743944
"Brain","1.16 (0.69-1.95)",0.981846558743944
"Cardiovascular","1.08 (0.52-2.24)",0.981846558743944
"Endocrine","1.45 (0.71-2.95)",0.981846558743944
"Gastrointestinal","1.01 (0.55-1.84)",0.981846558743944
"Immune","0.96 (0.57-1.61)",0.981846558743944
"Kidney And Bladder","1.21 (0.59-2.49)",0.981846558743944
"Liver","1.48 (0.80-2.73)",0.981846558743944
"Lung","0.94 (0.44-2.02)",0.981846558743944
"Muscle","1.20 (0.68-2.13)",0.981846558743944
"Nerve","1.17 (0.55-2.51)",0.981846558743944
"Ovary","0.48 (0.13-1.69)",0.981846558743944
"Pancreas","1.03 (0.52-2.04)",0.981846558743944
"Prostate","0.87 (0.27-2.82)",0.981846558743944
"Skin","1.24 (0.69-2.22)",0.981846558743944
