"Organ","Effect (95% CI)","FDR"
"Adipose","1.02 (0.90-1.17)",0.830621137973668
"Brain","1.10 (0.99-1.22)",0.41762687501629
"Cardiovascular","1.10 (0.97-1.24)",0.475896150181911
"Endocrine","1.00 (0.91-1.09)",0.95496851937297
"Gastrointestinal","1.20 (1.06-1.36)",0.0637148756772813
"Immune","1.08 (0.96-1.21)",0.518321545045845
"Kidney And Bladder","1.06 (0.95-1.18)",0.526434841850383
"Liver","1.00 (0.89-1.13)",0.95496851937297
"Lung","1.06 (0.93-1.21)",0.526434841850383
"Muscle","0.97 (0.87-1.07)",0.670764732413789
"Nerve","1.16 (1.01-1.32)",0.231565905799036
"Ovary","1.06 (0.94-1.20)",0.526434841850383
"Pancreas","0.95 (0.86-1.05)",0.526434841850383
"Prostate","1.14 (0.95-1.37)",0.475896150181911
"Skin","1.04 (0.92-1.18)",0.670764732413789
