"Organ","Effect (95% CI)","FDR"
"Adipose","0.98 (0.91-1.06)",0.62731261130243
"Brain","1.06 (0.99-1.14)",0.12693805106065
"Cardiovascular","1.19 (1.09-1.29)",0.000573008127058808
"Endocrine","1.11 (1.03-1.19)",0.0144028604409588
"Gastrointestinal","1.13 (1.05-1.22)",0.00370834753072496
"Immune","1.11 (1.03-1.19)",0.0123816105047077
"Kidney And Bladder","1.18 (1.08-1.28)",0.000573008127058808
"Liver","1.17 (1.09-1.26)",0.000505789067169323
"Lung","1.08 (1.00-1.16)",0.0694407519193776
"Muscle","1.04 (0.96-1.12)",0.369986212818597
"Nerve","1.10 (1.01-1.19)",0.0425418027968802
"Ovary","1.07 (0.98-1.16)",0.165980563696468
"Pancreas","1.08 (1.01-1.14)",0.039749877803103
"Prostate","1.08 (0.96-1.21)",0.250565050802786
"Skin","1.06 (0.98-1.14)",0.165980563696468
