"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.08--0.01)",0.0248205332243012
"Brain","0.03 (-0.00-0.07)",0.0985577719909511
"Cardiovascular","-0.04 (-0.08--0.00)",0.044091115129097
"Endocrine","-0.03 (-0.07-0.01)",0.136398921832292
"Gastrointestinal","-0.06 (-0.10--0.03)",0.00171284584987084
"Immune","0.05 (0.01-0.09)",0.0101905219210202
"Kidney_urinary","0.06 (0.02-0.09)",0.00514237050475047
"Liver","0.03 (-0.00-0.07)",0.103161438170644
"Lung","-0.06 (-0.09--0.02)",0.00386177047853559
"Muscle","0.07 (0.03-0.11)",0.000288966554558666
"Nerve","-0.01 (-0.05-0.03)",0.677746448448161
"Ovary","-0.04 (-0.09-0.01)",0.148401134049725
"Pancreas","0.02 (-0.02-0.05)",0.418610145383787
"Prostate","-0.12 (-0.18--0.06)",0.000102829975962065
"Skin","0.05 (0.02-0.09)",0.00868330935924683
