"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.01-0.13)",0.0356668954230037
"Brain","0.12 (0.06-0.17)",0.000211027648606113
"Cardiovascular","0.10 (0.04-0.16)",0.00153472623714862
"Endocrine","0.10 (0.04-0.16)",0.00139511020438011
"Gastrointestinal","0.13 (0.07-0.18)",6.68119695718918e-05
"Immune","0.16 (0.10-0.22)",2.50239532804424e-07
"Kidney_urinary","0.12 (0.07-0.18)",9.29883042611931e-05
"Liver","0.12 (0.06-0.17)",0.000264464351409281
"Lung","0.09 (0.03-0.15)",0.00572358506718497
"Muscle","0.09 (0.03-0.15)",0.00520275431498246
"Nerve","0.10 (0.04-0.16)",0.00139511020438011
"Ovary","0.08 (0.01-0.16)",0.0561806877327283
"Pancreas","0.10 (0.05-0.16)",0.00127370863018818
"Prostate","0.06 (-0.02-0.15)",0.224048734111419
"Skin","0.10 (0.04-0.16)",0.00146595047456758
