"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (-0.00-0.11)",0.0875639881477417
"Brain","0.14 (0.09-0.20)",6.12421319074102e-06
"Cardiovascular","0.09 (0.04-0.15)",0.0030871236539035
"Endocrine","0.07 (0.01-0.12)",0.0440198409047253
"Gastrointestinal","0.12 (0.06-0.17)",0.000203826787895138
"Immune","0.11 (0.06-0.17)",0.00039135973423995
"Kidney_urinary","0.16 (0.10-0.22)",2.4865497805571e-07
"Liver","0.09 (0.03-0.14)",0.0081642396191694
"Lung","0.08 (0.03-0.14)",0.00987546101794877
"Muscle","0.07 (0.01-0.12)",0.0391454153120269
"Nerve","0.06 (0.00-0.12)",0.0679583319764916
"Ovary","0.13 (0.05-0.20)",0.00254779473903769
"Pancreas","0.12 (0.06-0.17)",0.000223578243388338
"Prostate","-0.09 (-0.18-0.00)",0.0875639881477417
"Skin","0.10 (0.04-0.16)",0.00183054124631521
