"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.05-0.12)",2.32171000945598e-05
"Brain","0.16 (0.13-0.20)",3.60658413658709e-18
"Cardiovascular","0.12 (0.08-0.16)",1.87338921910623e-10
"Endocrine","0.12 (0.09-0.16)",1.39174369072256e-10
"Gastrointestinal","0.11 (0.08-0.15)",1.78196950209607e-09
"Immune","0.13 (0.09-0.16)",8.89020837117088e-12
"Kidney_urinary","0.21 (0.17-0.24)",3.84360343092337e-29
"Liver","0.11 (0.07-0.14)",1.3919127043069e-08
"Lung","0.07 (0.03-0.10)",0.000649523507500881
"Muscle","0.10 (0.06-0.13)",3.91765066191593e-07
"Nerve","0.06 (0.02-0.09)",0.00379222617089499
"Ovary","0.10 (0.05-0.15)",0.000152728938265295
"Pancreas","0.15 (0.11-0.18)",4.54605003952752e-15
"Prostate","-0.01 (-0.07-0.05)",0.783842186155721
"Skin","0.11 (0.08-0.15)",2.70383045656703e-09
