"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.03-0.14)",0.00586157251760343
"Brain","0.10 (0.05-0.16)",0.00124027536726831
"Cardiovascular","0.02 (-0.03-0.08)",0.539273985140188
"Endocrine","0.06 (0.00-0.12)",0.0674817015452806
"Gastrointestinal","0.06 (0.00-0.12)",0.0720780238338723
"Immune","0.04 (-0.01-0.10)",0.190828153563724
"Kidney_urinary","0.13 (0.07-0.18)",5.31576331435841e-05
"Liver","-0.01 (-0.06-0.05)",0.886862576530776
"Lung","0.05 (-0.01-0.11)",0.126653475255601
"Muscle","0.02 (-0.04-0.07)",0.631097757997905
"Nerve","0.04 (-0.02-0.10)",0.224048734111419
"Ovary","0.06 (-0.02-0.13)",0.182936109197348
"Pancreas","0.02 (-0.04-0.08)",0.599937783094473
"Prostate","-0.06 (-0.15-0.03)",0.27936843311654
"Skin","0.08 (0.03-0.14)",0.0081837240130577
